Reference,Depth_cm,Age_ma,Species,Mg/Ca_mmol,Mg/Ca_mmol_std,Site-Core-Section,Time rel. PETM onset,CIE
Penman et al 2014,0,55.680,Morozovella velascoensis,4.04,0.16,1209B-22H-1W,320,FALSE
Penman et al 2014,0,55.680,Morozovella velascoensis,3.99,0.16,1209B-22H-1W,320,FALSE
Penman et al 2014,10,55.700,Morozovella velascoensis,3.83,0.15,1209B-22H-1W,300,FALSE
Penman et al 2014,15,55.710,Morozovella velascoensis,3.81,0.15,1209B-22H-1W,290,FALSE
Penman et al 2014,20,55.720,Morozovella velascoensis,4.14,0.17,1209B-22H-1W,280,FALSE
Penman et al 2014,22,55.724,Morozovella velascoensis,4.07,0.16,1209B-22H-1W,276,FALSE
Penman et al 2014,26,55.732,Morozovella velascoensis,3.82,0.15,1209B-22H-1W,268,FALSE
Penman et al 2014,32,55.744,Morozovella velascoensis,4.14,0.17,1209B-22H-1W,256,FALSE
Penman et al 2014,38,55.756,Morozovella velascoensis,3.94,0.16,1209B-22H-1W,244,FALSE
Penman et al 2014,42,55.764,Morozovella velascoensis,3.71,0.15,1209B-22H-1W,236,FALSE
Penman et al 2014,42,55.764,Morozovella velascoensis,3.71,0.15,1209B-22H-1W,236,FALSE
Penman et al 2014,42,55.764,Morozovella velascoensis,4.21,0.17,1209B-22H-1W,236,FALSE
Penman et al 2014,46,55.772,Morozovella velascoensis,3.78,0.15,1209B-22H-1W,228,FALSE
Penman et al 2014,51,55.782,Morozovella velascoensis,3.65,0.15,1209B-22H-1W,218,FALSE
Penman et al 2014,52,55.784,Morozovella velascoensis,4.35,0.17,1209B-22H-1W,216,FALSE
Penman et al 2014,61,55.801,Morozovella velascoensis,3.69,0.15,1209B-22H-1W,199,FALSE
Penman et al 2014,68,55.814,Morozovella velascoensis,3.99,0.16,1209B-22H-1W,186,FALSE
Penman et al 2014,73,55.824,Morozovella velascoensis,3.86,0.15,1209B-22H-1W,176,FALSE
Penman et al 2014,79,55.836,Morozovella velascoensis,4.30,0.17,1209B-22H-1W,164,FALSE
Penman et al 2014,81,55.839,Morozovella velascoensis,3.88,0.16,1209B-22H-1W,161,FALSE
Penman et al 2014,90,55.857,Morozovella velascoensis,4.08,0.16,1209B-22H-1W,143,FALSE
Penman et al 2014,91,55.859,Morozovella velascoensis,4.23,0.17,1209B-22H-1W,141,FALSE
Penman et al 2014,95,55.866,Morozovella velascoensis,3.46,0.14,1209B-22H-1W,134,FALSE
Penman et al 2014,95,55.866,Morozovella velascoensis,3.71,0.15,1209B-22H-1W,134,FALSE
Penman et al 2014,101,55.879,Morozovella velascoensis,3.95,0.16,1209B-22H-1W,121,FALSE
Penman et al 2014,107,55.893,Morozovella velascoensis,4.02,0.16,1209B-22H-1W,107,FALSE
Penman et al 2014,107,55.893,Morozovella velascoensis,4.13,0.17,1209B-22H-1W,107,FALSE
Penman et al 2014,112,55.903,Morozovella velascoensis,4.51,0.18,1209B-22H-1W,97,FALSE
Penman et al 2014,112,55.904,Morozovella velascoensis,4.88,0.20,1209B-22H-1W,96,FALSE
Penman et al 2014,114,55.908,Morozovella velascoensis,4.44,0.18,1209B-22H-1W,92,FALSE
Penman et al 2014,115,55.911,Morozovella velascoensis,4.72,0.19,1209B-22H-1W,89,FALSE
Penman et al 2014,115,55.911,Morozovella velascoensis,4.72,0.19,1209B-22H-1W,89,FALSE
Penman et al 2014,116,55.912,Morozovella velascoensis,4.79,0.19,1209B-22H-1W,88,FALSE
Penman et al 2014,118,55.918,Morozovella velascoensis,4.86,0.19,1209B-22H-1W,82,FALSE
Penman et al 2014,118,55.918,Morozovella velascoensis,5.22,0.21,1209B-22H-1W,82,FALSE
Penman et al 2014,120,55.922,Morozovella velascoensis,5.01,0.20,1209B-22H-1W,78,TRUE
Penman et al 2014,120,55.923,Morozovella velascoensis,5.10,0.20,1209B-22H-1W,77,TRUE
Penman et al 2014,120,55.923,Morozovella velascoensis,5.02,0.20,1209B-22H-1W,77,TRUE
Penman et al 2014,122,55.931,Morozovella velascoensis,5.46,0.22,1209B-22H-1W,69,TRUE
Penman et al 2014,124,55.939,Morozovella velascoensis,4.83,0.19,1209B-22H-1W,61,TRUE
Penman et al 2014,125,55.948,Morozovella velascoensis,5.28,0.21,1209B-22H-1W,52,TRUE
Penman et al 2014,127,55.957,Morozovella velascoensis,5.09,0.20,1209B-22H-1W,43,TRUE
Penman et al 2014,130,55.974,Morozovella velascoensis,4.83,0.19,1209B-22H-1W,26,TRUE
Penman et al 2014,130,55.977,Morozovella velascoensis,5.49,0.22,1209B-22H-1W,23,TRUE
Penman et al 2014,131,55.980,Morozovella velascoensis,5.37,0.21,1209B-22H-1W,20,TRUE
Penman et al 2014,132,55.988,Morozovella velascoensis,5.40,0.22,1209B-22H-1W,12,TRUE
Penman et al 2014,133,55.991,Morozovella velascoensis,4.69,0.19,1209B-22H-1W,9,TRUE
Penman et al 2014,133,55.994,Morozovella velascoensis,5.04,0.20,1209B-22H-1W,6,TRUE
Penman et al 2014,133,55.994,Morozovella velascoensis,4.70,0.19,1209B-22H-1W,6,TRUE
Penman et al 2014,137,56.007,Morozovella velascoensis,3.53,0.14,1209B-22H-1W,-7,FALSE
Penman et al 2014,138,56.009,Morozovella velascoensis,3.72,0.15,1209B-22H-1W,-9,FALSE
Penman et al 2014,139,56.011,Morozovella velascoensis,3.35,0.13,1209B-22H-1W,-11,FALSE
Penman et al 2014,139,56.011,Morozovella velascoensis,3.81,0.15,1209B-22H-1W,-11,FALSE
Penman et al 2014,140,56.013,Morozovella velascoensis,3.13,0.13,1209B-22H-1W,-13,FALSE
Penman et al 2014,140,56.013,Morozovella velascoensis,3.21,0.13,1209B-22H-1W,-13,FALSE
Penman et al 2014,140,56.013,Morozovella velascoensis,3.40,0.14,1209B-22H-1W,-13,FALSE
Penman et al 2014,141,56.015,Morozovella velascoensis,3.33,0.13,1209B-22H-1W,-15,FALSE
Penman et al 2014,141,56.015,Morozovella velascoensis,3.33,0.13,1209B-22H-1W,-15,FALSE
Penman et al 2014,141,56.015,Morozovella velascoensis,3.59,0.14,1209B-22H-1W,-15,FALSE
Penman et al 2014,142,56.017,Morozovella velascoensis,3.54,0.14,1209B-22H-1W,-17,FALSE
Penman et al 2014,144,56.021,Morozovella velascoensis,3.53,0.14,1209B-22H-1W,-21,FALSE
Penman et al 2014,150,56.033,Morozovella velascoensis,3.58,0.14,1209B-22H-1W,-33,FALSE
Penman et al 2014,150,56.033,Morozovella velascoensis,3.45,0.14,1209B-22H-1W,-33,FALSE
Penman et al 2014,150,56.033,Morozovella velascoensis,4.09,0.16,1209B-22H-1W,-33,FALSE
Penman et al 2014,152,56.037,Morozovella velascoensis,3.51,0.14,1209B-22H-2W,-37,FALSE
Penman et al 2014,158,56.044,Morozovella velascoensis,3.31,0.13,1209B-22H-2W,-44,FALSE
Penman et al 2014,158,56.044,Morozovella velascoensis,3.45,0.14,1209B-22H-2W,-44,FALSE
Penman et al 2014,158,56.044,Morozovella velascoensis,3.59,0.14,1209B-22H-2W,-44,FALSE
Penman et al 2014,158,56.044,Morozovella velascoensis,3.55,0.14,1209B-22H-2W,-44,FALSE
Penman et al 2014,158,56.044,Morozovella velascoensis,3.70,0.15,1209B-22H-2W,-44,FALSE
Penman et al 2014,162,56.053,Morozovella velascoensis,3.53,0.14,1209B-22H-2W,-53,FALSE
